Trial,Time_s,Predicted_RY_Moment
2,3.47,-0.0137568889185786
2,3.48,-0.0139463236555457
2,3.49,-0.0123509038239717
2,3.5,0.00259233452379704
2,3.51,0.00266784895211458
2,3.52,0.000963356345891953
2,3.53,-0.000410904205637053
2,3.54,-0.000767669116612524
2,3.55,-0.00118841882795095
2,3.56,-0.0023167806211859
2,3.57,-8.47953015181702e-06
2,3.58,0.00367675465531647
2,3.59,0.00708306720480323
2,3.6,0.00952235423028469
2,3.61,0.0103986700996757
2,3.62,0.00870379898697138
2,3.63,0.00464668171480298
2,3.64,-0.00137189775705338
2,3.65,-0.0104919848963618
2,3.66,-0.0232296176254749
2,3.67,-0.0403851419687271
2,3.68,-0.0625553950667381
2,3.69,-0.0879721119999886
2,3.7,-0.113255724310875
2,3.71,-0.132456451654434
2,3.72,-0.134155884385109
2,3.73,-0.117518313229084
2,3.74,-0.108696922659874
2,3.75,-0.118789099156857
2,3.76,-0.143132269382477
2,3.77,-0.168276533484459
2,3.78,-0.202427342534065
2,3.79,-0.249838501214981
2,3.8,-0.298323810100555
2,3.81,-0.341818600893021
2,3.82,-0.38576403260231
2,3.83,-0.433463573455811
2,3.84,-0.467012166976929
2,3.85,-0.478453725576401
2,3.86,-0.491126924753189
2,3.87,-0.508561551570892
2,3.88,-0.522078454494476
2,3.89,-0.533193826675415
2,3.9,-0.535580158233643
2,3.91,-0.525198519229889
2,3.92,-0.505162596702576
2,3.93,-0.482726484537125
2,3.94,-0.461333334445953
2,3.95,-0.442616373300552
2,3.96,-0.426441609859467
2,3.97,-0.411264061927795
2,3.98,-0.396973222494125
2,3.99,-0.385313540697098
2,4,-0.378220319747925
2,4.01,-0.376484483480453
2,4.02,-0.379821926355362
2,4.03,-0.387253105640411
2,4.04,-0.396641194820404
2,4.05,-0.403416812419891
2,4.06,-0.406245559453964
2,4.07,-0.406493812799454
2,4.08,-0.404879689216614
2,4.09,-0.401959449052811
2,4.1,-0.398317575454712
2,4.11,-0.394759029150009
2,4.12,-0.39235046505928
2,4.13,-0.392174601554871
2,4.14,-0.39565646648407
2,4.15,-0.404890686273575
2,4.16,-0.42095810174942
2,4.17,-0.43935415148735
2,4.18,-0.455217629671097
2,4.19,-0.473601192235947
2,4.2,-0.49658477306366
2,4.21,-0.518745481967926
2,4.22,-0.538411140441895
2,4.23,-0.556573629379272
2,4.24,-0.572692811489105
2,4.25,-0.587600827217102
2,4.26,-0.602150857448578
2,4.27,-0.618665337562561
2,4.28,-0.633445560932159
2,4.29,-0.645362496376038
2,4.3,-0.663025856018066
2,4.31,-0.687852382659912
2,4.32,-0.707739889621735
