Trial,Time_s,Predicted_LY_Moment
1,8.15,-0.130245417356491
1,8.16,-0.150524497032166
1,8.17,-0.190301492810249
1,8.18,-0.291808485984802
1,8.19,-0.416807979345322
1,8.2,-0.479329496622086
1,8.21,-0.481172293424606
1,8.22,-0.472604691982269
1,8.23,-0.472341388463974
1,8.24,-0.484631478786469
1,8.25,-0.487825214862823
1,8.26,-0.484979748725891
1,8.27,-0.482104748487473
1,8.28,-0.479568839073181
1,8.29,-0.47688502073288
1,8.3,-0.473725080490112
1,8.31,-0.47014519572258
1,8.32,-0.466901779174805
1,8.33,-0.465026825666428
1,8.34,-0.464483648538589
1,8.35,-0.464520782232285
1,8.36,-0.464771717786789
1,8.37,-0.465516090393066
1,8.38,-0.46727928519249
1,8.39,-0.469936311244965
1,8.4,-0.472385287284851
1,8.41,-0.473561763763428
1,8.42,-0.47326585650444
1,8.43,-0.473061978816986
1,8.44,-0.473961353302002
1,8.45,-0.476174533367157
1,8.46,-0.479795396327972
1,8.47,-0.484638065099716
1,8.48,-0.490193456411362
1,8.49,-0.495720714330673
1,8.5,-0.500398099422455
1,8.51,-0.503581583499908
1,8.52,-0.505077660083771
1,8.53,-0.505196154117584
1,8.54,-0.50445020198822
1,8.55,-0.503150820732117
1,8.56,-0.501329123973846
1,8.57,-0.498932003974915
1,8.58,-0.496007919311523
1,8.59,-0.492751687765121
1,8.6,-0.489476382732391
1,8.61,-0.486550331115723
1,8.62,-0.484332710504532
1,8.63,-0.483126103878021
1,8.64,-0.483070433139801
1,8.65,-0.484064668416977
1,8.66,-0.485847502946854
1,8.67,-0.488116174936295
1,8.68,-0.490558117628098
1,8.69,-0.49285951256752
1,8.7,-0.494759380817413
1,8.71,-0.496068179607391
1,8.72,-0.496638596057892
1,8.73,-0.496389180421829
1,8.74,-0.495379358530045
1,8.75,-0.493891805410385
1,8.76,-0.492510348558426
1,8.77,-0.492113292217255
1,8.78,-0.493606954813004
1,8.79,-0.497301816940308
1,8.8,-0.502381920814514
1,8.81,-0.507346391677856
1,8.82,-0.510994374752045
1,8.83,-0.512787938117981
1,8.84,-0.51270592212677
1,8.85,-0.511078774929047
1,8.86,-0.508412659168243
1,8.87,-0.505427479743958
1,8.88,-0.503210306167603
1,8.89,-0.502749860286713
1,8.9,-0.504759848117828
1,8.91,-0.509571611881256
1,8.92,-0.514863789081573
1,8.93,-0.518346548080444
